$HAR,415917378,-935560929,216044,25.64,995.57,53.77,#
$HAR,415917372,-935560876,217312,25.66,995.61,53.01,#
$HAR,415917424,-935560896,216016,25.71,995.56,52.73,#
$HAR,415917584,-935560859,214505,25.75,995.56,52.69,#
$HAR,415917419,-935560921,211926,25.78,995.6,53.02,#
$HAR,415917400,-935560935,211014,25.85,995.64,53.97,#
$HAR,415917445,-935560915,210631,25.89,995.66,53.8,#
$HAR,415917464,-935560879,210213,25.92,995.71,53.33,#
$HAR,415917475,-935560875,210319,25.96,995.71,52.82,#
$HAR,415917525,-935560883,208817,26.02,995.65,52.39,#
$HAR,415917468,-935560917,207909,26.04,995.68,52.44,#
$HAR,415917473,-935560819,207992,26.07,995.67,52.34,#
$HAR,415917435,-935560798,207964,26.08,995.69,52.06,#
$HAR,415917616,-935560764,210410,26.1,995.68,51.57,#
$HAR,415917742,-935560766,210832,26.12,995.67,51.31,#
$HAR,415917945,-935560733,211500,26.11,995.68,51.08,#
$HAR,415917893,-935560719,210985,26.08,995.69,50.98,#
$HAR,415917833,-935560762,210856,26.1,995.69,50.97,#
$HAR,415917822,-935560766,210932,26.1,995.68,50.91,#
$HAR,415917686,-935560900,212197,26.12,995.66,50.81,#
$HAR,415917630,-935560923,212750,26.17,995.66,50.76,#
$HAR,415917602,-935560933,213099,26.17,995.69,50.66,#
$HAR,415917601,-935560938,212829,26.15,995.66,50.5,#
$HAR,415917599,-935560958,212381,26.18,995.7,50.41,#
$HAR,415917571,-935561000,212097,26.15,995.67,50.48,#
$HAR,415917521,-935561062,211843,26.17,995.73,50.67,#
$HAR,415917499,-935561078,211863,26.15,995.7,50.73,#
$HAR,415917475,-935561076,212134,26.15,995.72,50.74,#
$HAR,415917431,-935561079,212446,26.08,995.73,50.69,#
$HAR,415917407,-935561050,211947,26.1,995.72,50.72,#
$HAR,415917468,-935560975,210709,26.05,995.68,50.92,#
$HAR,415917572,-935560999,211238,25.99,995.67,51.06,#
$HAR,415917626,-935561035,211056,26,995.7,51.18,#
$HAR,415917640,-935560993,211446,26.02,995.67,51.22,#
$HAR,415917612,-935560976,211189,26.03,995.66,51.11,#
$HAR,415917605,-935560967,211864,26.06,995.68,51.1,#
$HAR,415917596,-935560992,212782,26.05,995.67,51.01,#
$HAR,415917632,-935561011,213044,26.09,995.68,50.93,#
$HAR,415917628,-935561014,212852,26.06,995.67,50.71,#
$HAR,415917686,-935561078,213671,26.07,995.65,50.46,#
$HAR,415917703,-935561028,213437,26.08,995.67,50.33,#
$HAR,415917704,-935560897,211785,26.05,995.68,50.48,#
$HAR,415917707,-935560855,211175,26.08,995.68,50.36,#
$HAR,415917693,-935560835,210051,26.05,995.66,50.3,#
$HAR,415917700,-935560895,210764,26.01,995.67,50.18,#
$HAR,415917701,-935560913,210726,26,995.69,50.16,#
$HAR,415917698,-935560858,209805,26.01,995.68,50.33,#
$HAR,415917686,-935560879,209767,26.04,995.66,50.38,#
$HAR,415917679,-935560902,209475,26.03,995.67,50.37,#
$HAR,415917677,-935560823,208045,26.04,995.68,50.45,#
$HAR,415917690,-935560740,207109,26.05,995.66,50.43,#
$HAR,415917672,-935560779,207958,26.04,995.69,50.53,#
$HAR,415917642,-935560758,207814,26.08,995.67,50.56,#
$HAR,415917622,-935560749,207590,26.08,995.67,50.57,#
$HAR,415917635,-935560742,207401,26.08,995.68,50.8,#
$HAR,415917633,-935560830,209082,26.11,995.65,50.68,#
$HAR,415917643,-935560888,210174,26.13,995.69,50.79,#
$HAR,415917633,-935560876,210594,26.1,995.68,50.67,#
$HAR,415917633,-935560866,210936,26.13,995.66,50.53,#
$HAR,415917634,-935560897,211985,26.11,995.69,50.35,#
$HAR,415917615,-935560936,213279,26.1,995.7,50.29,#
$HAR,415917599,-935560925,213475,26.07,995.71,50.36,#
$HAR,415917578,-935560948,214264,26.03,995.69,50.52,#
$HAR,415917583,-935560978,214508,26.01,995.66,50.68,#
$HAR,415917588,-935560960,214932,25.97,995.71,50.88,#
$HAR,415917620,-935560940,215601,25.96,995.73,51,#
$HAR,415917646,-935560923,216333,25.94,995.72,51.01,#
$HAR,415917651,-935560946,216809,25.85,995.73,51.25,#
$HAR,415917631,-935560979,217225,25.85,995.72,51.56,#
$HAR,415917613,-935561014,217511,25.79,995.68,51.67,#
$HAR,415917627,-935561035,217163,25.78,995.72,51.72,#
$HAR,415917625,-935561104,217549,25.78,995.71,51.74,#
$HAR,415917628,-935561143,217641,25.82,995.71,51.76,#
$HAR,415917619,-935561216,218158,25.83,995.7,51.73,#
$HAR,415917601,-935561285,218366,25.78,995.69,51.68,#
$HAR,415917595,-935561299,218597,25.79,995.71,51.63,#
$HAR,415917586,-935561295,218738,25.81,995.73,51.79,#
$HAR,415917587,-935561300,218721,25.82,995.68,51.65,#
$HAR,415917598,-935561273,218260,25.75,995.71,51.44,#
$HAR,415917602,-935561246,218405,25.72,995.69,51.35,#
$HAR,415917617,-935561250,218834,25.7,995.68,51.55,#
$HAR,415917611,-935561254,218739,25.71,995.73,51.79,#
$HAR,415917602,-935561279,219091,25.75,995.71,52.41,#
$HAR,415917591,-935561213,217776,25.77,995.66,52.48,#
$HAR,415917586,-935561200,217242,25.81,995.69,52.54,#
$HAR,415917578,-935561196,216753,25.86,995.7,52.37,#
$HAR,415917567,-935561204,216495,25.85,995.72,52.82,#
$HAR,415917558,-935561200,216217,25.88,995.73,51.98,#
$HAR,415917546,-935561200,216044,25.88,995.72,51.7,#
$HAR,415917540,-935561191,215848,25.9,995.7,51.53,#
